Sphere_evaluation_file Voltage	Sphere_evaluation_file Current	Sphere_evaluation_file Current density	Sphere_evaluation_file PD current	Sphere_evaluation_file Radiant flux	Sphere_evaluation_file Luminous flux	Sphere_evaluation_file Irradiance	Sphere_evaluation_file Luminance	Sphere_evaluation_file EQE	Sphere_evaluation_file P_eff
V	A	mA/cm^2	A	W	lm	W/m^2	cd/m^2	%	lm/W

1.499961	-3.594313e-11	-5.660335433070866e-07	2.884803506700001e-12	1.1097140132719714e-09	4.93984651377847e-07	0.00017475811232629473	0.024762235930176693	1416.28966490364	9162.576090112818
 1.59999	-4.537604e-10	-7.145833070866142e-06	1.11555209517e-11	4.291258623576659e-09	1.9102362138236475e-06	0.0006757887596183715	0.09575544437895442	433.8254306278395	2631.1354969420577
1.699934	2.191196e-11	3.450702362204724e-07	1.9468870957e-12	7.489202946886652e-10	3.3337880413960785e-07	0.00011794020388797879	0.016711459716813672	1567.8744482482805	8950.034259665814
1.799924	2.889156e-10	4.549851968503937e-06	3.0695446184999995e-12	1.180779442898552e-09	5.256191365328071e-07	0.00018594951856670114	0.026347994885949633	187.47989462205018	1010.7552560868279
1.899992	1.715574e-10	2.7016913385826774e-06	8.952838470999997e-13	3.443940041931696e-10	1.5330558149515677e-07	5.423527625089286e-05	0.007684831842057197	92.08799885503491	470.32356454537546
1.999934	1.738999e-11	2.738581102362205e-07	1.3784529073999995e-12	5.302574350123137e-10	2.3604192705717638e-07	8.350510787595492e-05	0.01183220140727125	1398.7636697700325	6786.942278225214
2.099972	-2.538939e-10	-3.998329133858268e-06	3.2684965847000006e-12	1.2573114438987548e-09	5.596870435621731e-07	0.0001980018021887803	0.028055735296821677	227.16818653678973	1049.7345285074714
 2.19912	4.197126e-10	6.609647244094488e-06	2.884803506700001e-12	1.1097140132719714e-09	4.93984651377847e-07	0.00017475811232629473	0.024762235930176693	121.28747991670483	535.1955820023359
2.299281	9.529454e-12	1.5007014173228346e-07	5.968558980000009e-13	2.295960027698018e-10	1.0220372098535557e-07	3.615685082989005e-05	0.005123221227465895	1105.2313982177902	4664.516558604756
2.399481	-1.206579e-11	-1.900124409448819e-07	6.394884622000005e-13	2.459957172753403e-10	1.095039867798087e-07	3.8739483035486666e-05	0.005489165601346807	935.2521026342043	3782.3076696908065
2.399477	-1.572784e-10	-2.476825196850394e-06	4.8601123127e-12	1.8695674512848917e-09	8.322302995231207e-07	0.0002944200710684869	0.04171765857006403	545.2917981885112	2205.250095544977
2.409388	1.105085e-11	1.7402913385826774e-07	3.1405988920999994e-12	1.208112300382138e-09	5.377862461788132e-07	0.00019025390557199026	0.026957902175178912	5014.972218376059	20197.948661706403
2.419315	-9.058635e-11	-1.4265566929133858e-06	1.8474111130000096e-13	7.10654294342438e-11	3.163448506934213e-08	1.1191406210117135e-05	0.0015857589514811212	35.98757087083622	144.34627818512982
2.429548	1.105085e-11	1.7402913385826774e-07	5.684341890000054e-14	2.186628599456264e-11	9.733687720229806e-09	3.4435096054429357e-06	0.0004879258315551041	90.76872799582534	362.5402594339863
2.439488	-6.141523e-10	-9.671689763779528e-06	2.472688720700001e-12	9.511834402056864e-10	4.234154155816993e-07	0.000149792667748927	0.021224773660200494	71.04689582294746	282.6128449094067
2.449388	-5.259393e-11	-8.282508661417324e-07	5.1301185522e-12	1.9734323096532774e-09	8.784653161471217e-07	0.00031077674167768153	0.04403530626759024	1721.2482816321076	6819.168303617019
