Spectrometer Wavelength	Spectrometer Intensity
nm	W/nm

246.46566682473735	     0.0
246.84693364199225	     0.0
247.22815839769814	     0.0
247.60934108862122	     0.0
247.99048171152756	     0.0
248.37158026318343	     0.0
248.7526367403548	     0.0
249.1336511398079	     0.0
249.51462345830882	     0.0
249.89555369262374	     0.0
250.27644183951875	     0.0
250.65728789576	     0.0
251.0380918581136	     0.0
251.4188537233457	     0.0
251.79957348822242	     0.0
252.18025114950993	     0.0
252.5608867039743	     0.0
252.94148014838166	     0.0
253.32203147949824	     0.0
253.70254069409012	     0.0
254.08300778892337	     0.0
254.46343276076416	     0.0
254.84381560637866	     0.0
255.224156322533	     0.0
255.60445490599324	     0.0
255.98471135352554	     0.0
256.3649256618961	     0.0
256.745097827871	     0.0
257.1252278482163	     0.0
257.5053157196983	     0.0
257.885361439083	     0.0
258.2653650031366	     0.0
258.6453264086251	     0.0
259.0252456523148	     0.0
259.40512273097175	     0.0
259.78495764136215	     0.0
260.16475038025203	     0.0
260.54450094440756	     0.0
260.9242093305949	     0.0
261.3038755355802	     0.0
261.68349955612945	     0.0
262.06308138900897	     0.0
262.4426210309848	     0.0
262.8221184788231	     0.0
263.20157372929	     0.0
263.5809867791515	     0.0
263.96035762517386	     0.0
264.33968626412326	     0.0
264.7189726927658	     0.0
265.09821690786754	     0.0
265.47741890619466	     0.0
265.8565786845133	     0.0
266.2356962395896	     0.0
266.61477156818955	     0.0
266.9938046670795	     0.0
267.37279553302545	     0.0
267.7517441627935	     0.0
268.13065055314996	     0.0
268.5095147008608	     0.0
268.88833660269216	     0.0
269.2671162554104	     0.0
269.64585365578125	     0.0
270.0245488005711	     0.0
270.403201686546	     0.0
270.7818123104722	     0.0
271.1603806691158	     0.0
271.5389067592428	     0.0
271.9173905776194	     0.0
272.2958321210118	     0.0
272.6742313861861	     0.0
273.05258836990834	     0.0
273.4309030689447	     0.0
273.80917548006136	     0.0
274.1874056000245	     0.0
274.56559342560007	     0.0
274.9437389535544	     0.0
275.32184218065345	     0.0
275.69990310366353	     0.0
276.07792171935057	     0.0
276.4558980244808	     0.0
276.8338320158204	     0.0
277.21172369013544	     0.0
277.58957304419215	     0.0
277.9673800747566	     0.0
278.3451447785947	     0.0
278.72286715247304	     0.0
279.10054719315735	     0.0
279.47818489741394	     0.0
279.85578026200886	     0.0
280.23333328370836	     0.0
280.6108439592785	     0.0
280.98831228548545	     0.0
281.3657382590952	     0.0
281.7431218768741	     0.0
282.1204631355881	     0.0
282.4977620320035	     0.0
282.8750185628863	     0.0
283.25223272500256	     0.0
283.62940451511867	     0.0
284.00653393000056	     0.0
284.3836209664144	     0.0
284.76066562112635	     0.0
285.1376678909025	     0.0
285.514627772509	     0.0
285.89154526271204	     0.0
286.2684203582777	     0.0
286.64525305597203	     0.0
287.02204335256135	     0.0
287.39879124481166	     0.0
287.7754967294891	     0.0
288.1521598033599	     0.0
288.52878046319	     0.0
288.9053587057457	     0.0
289.28189452779304	     0.0
289.65838792609827	     0.0
290.0348388974274	     0.0
290.4112474385465	     0.0
290.78761354622196	     0.0
291.1639372172197	     0.0
291.54021844830595	     0.0
291.91645723624674	     0.0
292.29265357780827	     0.0
292.66880746975664	     0.0
293.0449189088581	     0.0
293.4209878918786	     0.0
293.7970144155844	     0.0
294.17299847674155	     0.0
294.5489400721163	     0.0
294.9248391984747	     0.0
295.30069585258275	     0.0
295.6765100312068	     0.0
296.05228173111294	     0.0
296.4280109490673	     0.0
296.8036976818359	     0.0
297.1793419261849	     0.0
297.5549436788806	     0.0
297.9305029366889	     0.0
298.3060196963761	     0.0
298.68149395470823	     0.0
299.0569257084515	     0.0
299.432314954372	     0.0
299.8076616892359	     0.0
300.18296590980924	     0.0
300.5582276128583	     0.0
300.93344679514905	     0.0
301.3086234534477	     0.0
301.6837575845204	     0.0
302.0588491851332	     0.0
302.4338982520523	     0.0
302.80890478204395	     0.0
303.1838687718741	     0.0
303.55879021830896	     0.0
303.93366911811455	     0.0
304.3085054680571	     0.0
304.6832992649027	     0.0
305.05805050541755	     0.0
305.43275918636783	     0.0
305.80742530451954	     0.0
306.18204885663886	     0.0
306.5566298394919	     0.0
306.93116824984486	     0.0
307.3056640844638	     0.0
307.6801173401148	     0.0
308.0545280135641	     0.0
308.4288961015779	     0.0
308.80322160092214	     0.0
309.1775045083631	     0.0
309.5517448206668	     0.0
309.92594253459947	     0.0
310.3000976469272	     0.0
310.67421015441613	     0.0
311.04828005383234	     0.0
311.422307341942	     0.0
311.7962920155112	     0.0
312.17023407130625	     0.0
312.5441335060931	     0.0
312.917990316638	     0.0
313.2918044997069	     0.0
313.66557605206606	     0.0
314.0393049704816	     0.0
314.41299125171963	     0.0
314.7866348925464	     0.0
315.1602358897279	     0.0
315.53379424003026	     0.0
315.9073099402197	     0.0
316.2807829870623	     0.0
316.65421337732425	     0.0
317.02760110777155	     0.0
317.4009461751704	     0.0
317.774248576287	     0.0
318.14750830788745	     0.0
318.52072536673785	     0.0
318.8938997496043	     0.0
319.267031453253	     0.0
319.6401204744501	     0.0
320.0131668099616	     0.0
320.38617045655377	     0.0
320.7591314109926	     0.0
321.1320496700444	     0.0
321.50492523047524	     0.0
321.8777580890512	     0.0
322.25054824253846	     0.0
322.6232956877031	     0.0
322.9960004213113	     0.0
323.36866244012907	     0.0
323.7412817409228	     0.0
324.11385832045835	     0.0
324.486392175502	     0.0
324.8588833028199	     0.0
325.23133169917804	     0.0
325.6037373613428	     0.0
325.97610028608	     0.0
326.348420470156	     0.0
326.7206979103368	     0.0
327.09293260338865	     0.0
327.46512454607756	     0.0
327.83727373516984	     0.0
328.20938016743145	     0.0
328.58144383962855	     0.0
328.9534647485274	     0.0
329.3254428908939	     0.0
329.69737826349433	     0.0
330.06927086309486	     0.0
330.44112068646155	     0.0
330.81292773036057	     0.0
331.184691991558	     0.0
331.55641346682006	     0.0
331.9280921529128	     0.0
332.29972804660235	     0.0
332.6713211446548	     0.0
333.0428714438365	     0.0
333.4143789409133	     0.0
